asset_id,asset_name,asset_type,business_function,primary_data_processed,data_sensitivity,business_criticality,asset_owner,system_dependency,availability_requirement,key_risk_exposure,related_grc_area,source_reference,scope_status,notes
A-001,Student Profile Module,Application Module,"Stores and manages student identity, academic profile, contact, and enrollment-related information.","Student identity, contact details, academic profile, enrollment status",High,High,Data Owner / Academic Services,Academic Database; Admin Portal; Identity and Access Management,High - needed for daily academic administration and student services,"Unauthorized access, excessive privilege, personal data exposure, inaccurate student records",Access Management; Data Privacy; Data Quality,"NIST CSF ID.AM, PR.AA, PR.DS; NIST SP 800-53 AC, IA; ISO 27001 CIA; Indonesia PDP Law",In Scope,Primary personal data asset for this simulated assessment.
A-002,Course Registration Module,Application Module,"Supports course enrollment, class selection, registration schedule, and registration status visibility.","Course selection, registration status, student enrollment records",Medium,High,System Owner / Academic Operations,Academic Database; Admin Portal; Reporting Dashboard,High - especially during course registration periods,"Service unavailability, registration errors, unauthorized schedule changes, business process disruption",Business Continuity; Change Management; Access Management,"NIST CSF ID.AM, PR.PS, RC.RP; NIST SP 800-53 CP, CM, AC; COBIT governance concepts",In Scope,Critical operational asset due to time-sensitive academic registration processes.
A-003,Payment Status Module,Application Module,Displays payment or tuition-related status to authorized academic and administrative users.,"Payment status, billing visibility, student financial status indicators",High,Medium,Finance Data Owner / Academic Services,Academic Database; Admin Portal; Reporting Dashboard,Medium - important for service eligibility checks and administrative decisions,"Sensitive information exposure, incorrect payment status, unauthorized data viewing, integrity issues",Data Privacy; Data Integrity; Access Management,"NIST CSF PR.AA, PR.DS; NIST SP 800-53 AC, IA, SI; ISO 27001 confidentiality/integrity; Indonesia PDP Law",In Scope,Sensitive status visibility; does not simulate full payment processing.
A-004,Document Request Module,Application Module,"Handles academic document request submission, processing, approval, and completion status.","Document request details, requestor information, approval status, service notes",Medium,Medium,Academic Services Lead,Academic Database; Admin Portal; Incident Ticketing Log,Medium - needed for student service continuity,"Incomplete request evidence, unclear workflow ownership, delayed processing, inaccurate status tracking",Workflow Control; Evidence Tracking; Service Monitoring,"NIST CSF ID.AM, PR.PS; NIST SP 800-53 CM, PL; COBIT governance concepts",In Scope,Useful for showing evidence and workflow accountability concepts.
A-005,Admin Portal,Application / Privileged Interface,"Provides staff and administrative users with access to manage academic records, requests, and operational information.","Administrative actions, user updates, workflow approvals, data changes",High,High,IT Manager / System Owner,Identity and Access Management; Academic Database; Logging & Monitoring,High - required for operational support and service administration,"Privileged access misuse, lack of access review, insufficient segregation of duties, weak activity monitoring",Privileged Access Management; Logging & Monitoring; Data Privacy,"NIST CSF PR.AA, DE.CM; NIST SP 800-53 AC, AU, IA; CIS Controls Account Management; Indonesia PDP Law",In Scope,High-priority asset for later access management risks and controls.
A-006,Academic Database,Database,"Stores core data used by the academic services system, including student, registration, request, and status records.","Student records, registration data, payment status indicators, service request data",High,High,Database Administrator / IT Operations,Backup Storage; Admin Portal; Reporting Dashboard; Logging & Monitoring,High - system modules depend on database availability and integrity,"Data loss, unauthorized database access, integrity failure, backup failure, insufficient monitoring",Data Protection; Backup & Recovery; Logging & Monitoring; Access Management,"NIST CSF PR.DS, DE.CM, RC.RP; NIST SP 800-53 AC, AU, CP, SC; ISO 27001 CIA; Indonesia PDP Law",In Scope,"Central asset with high confidentiality, integrity, and availability relevance."
A-007,Reporting Dashboard,BI / Reporting,"Provides management and operational reporting for academic service status, requests, and performance indicators.","Aggregated operational metrics, service status, academic reporting indicators",Medium,Medium,Management Reporting Owner,Academic Database; Data Quality Validation; User Access Controls,Medium - supports monitoring and management decisions,"Incorrect reporting, incomplete data, weak data quality validation, inappropriate report access",Data Quality; Reporting Governance; Access Management,"NIST CSF ID.AM, PR.DS; NIST SP 800-53 SI, AC; COBIT information quality concepts",In Scope,Important for linking data quality to management reporting risk.
A-008,Backup Storage,Infrastructure / Storage,Stores backup copies required for system restoration and service continuity.,"Backup files, restoration points, database/system snapshots",High,High,IT Operations,Academic Database; Recovery Procedure; Backup Monitoring,High - required for recovery from data loss or service disruption,"Backup restoration failure, missing restore testing, backup data exposure, recovery delay",Backup & Recovery; Business Continuity; Data Protection,"NIST CSF RC.RP, PR.DS; NIST SP 800-53 CP, SC; ISO 27001 availability concepts; CIS Data Recovery",In Scope,Key asset for recovery readiness and business continuity risk.
A-009,Identity and Access Management / User Directory,Identity Service,"Manages user accounts, authentication, user roles, and access provisioning for academic services.","User account records, role assignments, authentication and access metadata",High,High,IT Admin / IAM Owner,Admin Portal; Student Profile Module; Logging & Monitoring,High - access to critical modules depends on identity services,"Dormant accounts, excessive privileges, weak access review, unauthorized account provisioning",Access Management; Privileged Access; Governance Accountability,"NIST CSF PR.AA; NIST SP 800-53 AC, IA; CIS Account Management; COBIT governance concepts",In Scope,Used later for risks around access review and privileged access.
A-010,Change Request Repository,Process Repository,"Stores change requests, approvals, UAT results, release notes, and deployment decisions.","Change request forms, UAT evidence, approval records, release notes",Medium,Medium,System Owner / Change Coordinator,Admin Portal; Developer Handoff; UAT Documentation,Medium - needed for change traceability and audit readiness,"Undocumented changes, missing UAT evidence, unclear approval trail, production errors",Change Management; Evidence Tracking; Control Assessment,"NIST CSF PR.PS; NIST SP 800-53 CM, SA; COBIT change management concepts",In Scope,Primary asset for change management and audit evidence risks.
A-011,Incident Ticketing Log,Service Management Record,"Records incidents, service issues, severity, escalation, resolution notes, and closure status.","Incident tickets, severity classification, owner assignment, resolution evidence",Medium,High,Helpdesk Lead / IT Operations,Admin Portal; Logging & Monitoring; Incident Response Procedure,High - supports incident response and service recovery monitoring,"Incomplete escalation, delayed response, missing incident evidence, inconsistent severity classification",Incident Handling; Evidence Tracking; Service Recovery,"NIST CSF RS.MA, RS.AN, RS.CO; NIST SP 800-53 IR; CIS Incident Response Management",In Scope,Important for response and recovery assessment in later steps.
A-012,Vendor / SaaS Support Portal,Third-Party Service Interface,"Supports coordination with external service provider for system support, incident escalation, and service requests.","Support tickets, service requests, SLA notes, issue updates, vendor communication",Medium,Medium,Vendor Manager / IT Manager,Incident Ticketing Log; Change Request Repository; Service Level Agreement,Medium - needed for support coordination and escalation,"Vendor dependency, unclear SLA evidence, delayed escalation, third-party access concerns",Vendor Dependency; Supply Chain Risk; Incident Handling,"NIST CSF GV.SC; NIST SP 800-53 SR, SA; COBIT vendor/service management concepts",In Scope,Used later for supplier and third-party risk mapping.
